 # 2014 10 31 
 # CdTe 20 x 20 x 2 cm^3
 # Crab type flux, 60 to 600 keV, in Z, centered in XY plane 
 # 1 keV Threshold, 5*10^5 photons
1 0.031814 17.4228 40.4117 -9.99633
1 0.00289202 17.4225 40.4117 -9.9956
1 0.00283265 17.4232 40.4116 -9.99565
1 0.00644401 17.4234 40.4118 -9.99619
1 0.0189092 17.4235 40.412 -9.99611
1 -0.0634724 17.4228 40.4117 -24
2 0.031814 3.82755 -35.6469 -9.61844
2 0.0314172 3.82792 -35.6475 -9.61841
2 -0.0632312 3.82755 -35.6469 -24
3 0.026711 -22.9841 -54.5712 -9.89266
3 0.043588 -22.9851 -54.5708 -9.89204
3 -0.070299 -22.9841 -54.5712 -24
4 0.026711 -85.0299 39.288 -9.67357
4 0.0417782 -85.0309 39.2874 -9.67356
4 -0.0684892 -85.0299 39.288 -24
5 0.031814 98.866 65.5188 -9.68085
5 0.0724539 98.8662 65.5167 -9.67904
5 -0.104268 98.866 65.5188 -24
6 0.031814 40.544 -23.9582 6.31829
6 0.193601 40.5477 -23.9713 6.32056
6 0.00133362 42.3955 -22.8157 -6.87126
6 -0.226748 42.3955 -22.8157 -24
7 0.031814 59.6921 -75.5449 -9.98514
7 0.0416696 59.6914 -75.5458 -9.98482
7 -0.0734836 59.6921 -75.5449 -24
8 0.026711 -19.3454 -59.0143 -9.37941
8 0.102377 -19.3426 -59.012 -9.37607
8 -0.129088 -19.3454 -59.0143 -24
9 0.026711 -67.43 -36.2995 -9.37008
9 0.0584332 -67.4294 -36.3003 -9.36835
9 -0.0851442 -67.43 -36.2995 -24
10 0.031814 43.7643 -1.98763 -9.36081
10 0.0975697 43.7602 -1.98752 -9.35881
10 -0.129384 43.7643 -1.98763 -24
11 0.026711 -22.952 -18.7704 -9.92314
11 0.0295819 -22.9516 -18.7708 -9.92279
11 -0.0562929 -22.952 -18.7704 -24
12 0.031814 -33.4944 -61.3619 -9.53411
12 0.036941 -33.4936 -61.3623 -9.53366
12 -0.068755 -33.4944 -61.3619 -24
13 0.026711 -95.1205 93.1284 -7.07048
13 0.124652 -95.1153 93.1271 -7.07462
13 0.180887 -96.9216 90.7495 -2.47973
13 -0.33225 -96.9202 90.7513 -24
14 0.031814 25.5232 -6.59601 -7.6499
14 0.0614267 25.5234 -6.59779 -7.64867
14 0.00302237 25.3087 -6.59202 -7.7255
14 0.00376076 25.0552 -6.55886 -8.06687
14 -0.100024 25.0552 -6.55886 -24
15 0.031814 -32.2973 -71.173 -1.24424
15 0.166711 -32.2967 -71.1837 -1.24593
15 -0.198525 -32.2973 -71.173 -24
16 0.031814 -35.8838 -24.0452 -7.99014
16 0.0751329 -35.8831 -24.0463 -7.98744
16 -0.106947 -35.8838 -24.0452 -24
17 0.026711 -12.7814 -44.1713 -9.47107
17 0.0825304 -12.7822 -44.1698 -9.46803
17 -0.109241 -12.7814 -44.1713 -24
18 0.026711 -37.853 17.9591 -5.25068
18 0.187436 -37.8612 17.9612 -5.24072
18 -0.214147 -37.853 17.9591 -24
19 0.031814 56.7706 -30.3284 -9.36837
19 0.0255251 56.7708 -30.3287 -9.36807
19 -0.0573391 56.7706 -30.3284 -24
20 0.031814 44.2536 95.7483 -7.20633
20 0.101282 44.2522 95.7478 -7.2017
20 -0.133096 44.2536 95.7483 -24
21 0.026711 16.9719 26.8187 -8.32167
21 0.0994419 16.9718 26.8212 -8.31764
21 -0.126153 16.9719 26.8187 -24
22 0.031814 -14.6997 1.65587 -9.3302
22 0.0409473 -14.6987 1.65627 -9.32984
22 -0.0727613 -14.6997 1.65587 -24
23 0.031814 89.5193 0.5487 -7.94928
23 0.0464136 89.5198 0.547466 -7.94897
23 -0.0782276 89.5193 0.5487 -24
24 0.031814 37.9078 39.3654 -7.78876
24 0.146031 37.9157 39.3646 -7.78508
24 -0.177845 37.9078 39.3654 -24
25 0.026711 15.5383 -76.4779 -9.15784
25 0.0579949 15.5379 -76.4766 -9.15637
25 0.00646816 15.5149 -76.4721 -9.17456
25 -0.0911741 15.515 -76.4722 -24
26 0.031814 -64.9145 36.8732 0.822643
26 0.257427 -64.9166 36.8882 0.837888
26 -0.289241 -64.9145 36.8732 -24
27 0.031814 -59.8822 -87.0735 -9.80351
27 0.0235667 -59.882 -87.0738 -9.80322
27 -0.0553807 -59.8822 -87.0735 -24
28 0.026711 -95.9129 -57.5906 -8.79348
28 0.0412919 -95.9131 -57.5912 -8.79252
28 -0.0680029 -95.9129 -57.5906 -24
29 0.026711 66.2896 1.87233 -8.4939
29 0.102288 66.2927 1.86989 -8.49085
29 -0.128999 66.2896 1.87233 -24
30 0.026711 36.907 10.1706 -5.73991
30 0.083279 36.9083 10.1704 -5.73663
30 -0.10999 36.907 10.1706 -24
31 0.031814 85.4565 49.4377 -9.96147
31 0.0645841 85.4577 49.4388 -9.95976
31 -0.0963981 85.4565 49.4377 -24
32 0.031814 18.7918 52.3811 -8.97643
32 0.327684 18.7908 52.3939 -8.94798
32 -0.359498 18.7918 52.3811 -24
33 0.026711 -26.9125 -6.03553 -8.50908
33 0.22143 -26.9102 -6.02529 -8.4957
33 -0.248141 -26.9125 -6.03553 -24
34 0.026711 -43.0504 -37.1733 -5.59145
34 0.223876 -43.0434 -37.1772 -5.5761
34 0.0319268 -41.4116 -36.6011 -7.68216
34 -0.282514 -41.4122 -36.6013 -24
35 0.031814 -57.528 -67.8709 -9.77553
35 0.0508992 -57.5277 -67.8713 -9.77401
35 -0.0827132 -57.528 -67.8709 -24
36 0.031814 -11.7808 62.5932 -9.98703
36 0.0285615 -11.7809 62.5926 -9.98727
36 -0.0603755 -11.7808 62.5932 -24
37 0.031814 63.235 -7.95995 -7.05197
37 0.138042 63.2346 -7.96632 -7.04706
37 -0.169856 63.235 -7.95995 -24
38 0.026711 -21.3563 -74.7884 -6.89629
38 0.127644 -21.362 -74.786 -6.89296
38 -0.154355 -21.3563 -74.7884 -24
39 0.026711 -30.9572 7.88577 -9.71072
39 0.0514115 -30.9583 7.88566 -9.7095
39 -0.0781225 -30.9572 7.88577 -24
40 -0.37777 30.8694 65.4047 -24
41 0.026711 -79.9517 61.1496 -5.50718
41 0.113243 -79.9492 61.1459 -5.50339
41 -0.139954 -79.9517 61.1496 -24
42 0.026711 74.1998 21.2474 -9.75061
42 0.0498754 74.1995 21.2489 -9.75062
42 -0.0765864 74.1998 21.2474 -24
43 0.031814 10.6198 65.071 -9.79871
43 0.0415251 10.619 65.0707 -9.79793
43 -0.0733391 10.6198 65.071 -24
44 0.031814 59.9454 -86.5612 -8.97601
44 0.0950808 59.9486 -86.5622 -8.97308
44 -0.126895 59.9454 -86.5612 -24
45 0.031814 38.0799 -23.7383 -9.66605
45 0.0375692 38.0794 -23.7379 -9.66533
45 -0.0693832 38.0799 -23.7383 -24
46 0.031814 70.3619 4.21632 -7.00245
46 0.0543921 70.3607 4.21623 -7.00375
46 0.0228634 70.5291 4.41915 -6.73167
46 0.0159099 70.612 4.3602 -6.77647
46 -0.124979 70.6118 4.36031 -24
47 0.031814 -61.7187 29.1034 -9.25431
47 0.0600779 -61.7177 29.1023 -9.25288
47 -0.0918919 -61.7187 29.1034 -24
48 0.026711 -57.3557 96.1302 -9.88943
48 0.0355954 -57.3563 96.13 -9.88883
48 -0.0623064 -57.3557 96.1302 -24
49 0.031814 -46.4777 33.3504 -4.95209
49 0.186536 -46.4764 33.3562 -4.94055
49 -0.21835 -46.4777 33.3504 -24
50 0.031814 56.7318 85.8001 -9.65139
50 0.0922036 56.7305 85.7988 -9.64767
50 -0.124018 56.7318 85.8001 -24
51 0.026711 70.3811 48.5467 -4.2613
51 0.175262 70.3864 48.5493 -4.25116
51 -0.201973 70.3811 48.5467 -24
52 0.027775 32.2895 2.88735 1.48087
52 -0.415289 32.2891 2.88777 -24
53 0.026711 -15.9733 32.3642 -8.41151
53 0.408993 -15.9849 32.3929 -8.38074
53 -0.435704 -15.9733 32.3642 -24
54 0.031814 13.1148 12.2544 -9.71858
54 0.0250614 13.1145 12.2545 -9.7182
54 -0.0568754 13.1148 12.2544 -24
55 0.031814 34.2377 13.5464 -9.37244
55 0.0867671 34.2385 13.5495 -9.37047
55 -0.118581 34.2377 13.5464 -24
56 0.026711 -54.0572 15.5122 -5.98962
56 0.138816 -54.0607 15.5117 -5.9823
56 -0.165527 -54.0572 15.5122 -24
57 0.031814 -89.4311 10.3285 -6.4674
57 0.170298 -89.4225 10.3325 -6.46134
57 -0.202112 -89.4311 10.3285 -24
58 0.026711 23.3138 93.7301 -9.98184
58 0.00764855 23.3188 93.7315 -9.982
58 0.00413597 23.3206 93.7306 -9.98413
58 0.0116967 23.3173 93.7313 -9.9837
58 0.0113513 23.3153 93.7307 -9.98205
58 0.0352806 23.3149 93.731 -9.98134
58 -0.0968242 23.3138 93.7301 -24
59 0.031814 -86.1025 21.6652 -9.13493
59 0.106603 -86.1065 21.665 -9.13153
59 -0.138417 -86.1025 21.6652 -24
60 0.031814 -63.3212 -45.9842 -9.35284
60 0.065756 -63.3191 -45.9853 -9.35214
60 -0.09757 -63.3212 -45.9842 -24
61 0.026711 61.5609 82.0015 -9.55496
61 0.0309147 61.5616 82.0014 -9.55484
61 -0.0576257 61.5609 82.0015 -24
62 0.031814 -58.8906 49.0359 -9.83444
62 0.0492672 -58.8907 49.0348 -9.83343
62 -0.0810812 -58.8906 49.0359 -24
63 0.031814 0.273796 9.9987 -4.81004
63 0.209315 0.269802 9.99118 -4.79702
63 -0.241129 0.273796 9.9987 -24
64 0.026711 80.7781 82.0292 -9.9481
64 0.0880344 80.7776 82.0271 -9.94489
64 -0.114745 80.7781 82.0292 -24
65 0.026711 -51.3741 70.8365 -3.9274
65 0.230608 -51.374 70.829 -3.91092
65 -0.257319 -51.3741 70.8365 -24
66 0.026711 -9.99248 44.275 -8.78822
66 0.0598369 -9.99406 44.2742 -8.78933
66 -0.0865479 -9.99248 44.275 -24
67 0.031814 -18.559 -68.1652 -7.67442
67 0.109111 -18.5555 -68.162 -7.67176
67 -0.140925 -18.559 -68.1652 -24
68 0.031814 -24.7376 -74.9242 -9.37068
68 0.0350907 -24.738 -74.9248 -9.37018
68 -0.0669047 -24.7376 -74.9242 -24
69 0.026711 85.8416 -11.5715 -7.78775
69 0.0542845 85.8429 -11.571 -7.78661
69 -0.0809955 85.8416 -11.5715 -24
70 0.026711 52.3893 -90.348 -7.65525
70 0.0789947 52.3921 -90.3492 -7.65658
70 0.0042494 52.0804 -88.7399 -9.94301
70 -0.109955 52.0804 -88.74 -24
71 0.026711 -15.3648 11.4452 -2.97862
71 0.147829 -15.3669 11.4373 -2.98231
71 0.211409 -14.2232 11.5137 -2.10071
71 -0.385949 -14.2275 11.5134 -24
72 0.026711 33.6503 32.7231 7.95457
72 0.0915012 33.6512 32.7249 7.95096
72 0.0562201 33.6402 32.5348 8.08847
72 0.187215 33.6715 32.8242 8.27301
72 -0.361647 33.6711 32.8201 -24
73 0.031814 -10.0032 75.4228 4.45725
73 0.204777 -10.014 75.425 4.46754
73 -0.236591 -10.0032 75.4228 -24
74 0.031814 -6.96547 43.1875 -9.31266
74 0.0962026 -6.96888 43.1896 -9.31071
74 -0.128017 -6.96547 43.1875 -24
75 0.031814 64.5069 37.448 -0.78453
75 0.125305 64.5066 37.4448 -0.778447
75 -0.157119 64.5069 37.448 -24
76 0.031814 19.7569 4.06055 -9.10878
76 0.140774 19.7587 4.0579 -9.1011
76 -0.172588 19.7569 4.06055 -24
77 0.031814 11.6324 -36.2104 -9.90335
77 0.0404803 11.6323 -36.2093 -9.90371
77 -0.0722943 11.6324 -36.2104 -24
78 0.026711 60.599 52.2115 -9.88641
78 0.0324765 60.5993 52.2109 -9.88597
78 -0.0591875 60.599 52.2115 -24
79 0.026711 -45.3181 44.3153 -9.70996
79 0.141195 -45.3205 44.32 -9.70352
79 -0.167906 -45.3181 44.3153 -24
80 0.031814 -54.0647 94.6621 -9.47908
80 0.0411744 -54.0656 94.6626 -9.47884
80 -0.0729884 -54.0647 94.6621 -24
81 -0.233536 -23.3135 -21.4724 -24
82 0.031814 -26.9467 45.4126 -9.88141
82 0.0612477 -26.948 45.414 -9.88031
82 -0.0930617 -26.9467 45.4126 -24
83 -0.415326 36.1533 44.7886 -24
84 0.031814 61.7847 -75.2305 -8.54531
84 0.0300278 61.785 -75.2309 -8.54493
84 -0.0618418 61.7847 -75.2305 -24
85 0.026711 88.7239 -18.5154 -9.77887
85 0.0297128 88.7236 -18.5148 -9.77872
85 -0.0564238 88.7239 -18.5154 -24
86 0.031814 14.1073 -99.1019 -9.81719
86 0.0462017 14.1077 -99.1026 -9.8161
86 -0.0780157 14.1073 -99.1019 -24
87 0.031814 -46.6146 -5.10803 -9.93888
87 0.0361748 -46.6142 -5.10874 -9.93923
87 -0.0679888 -46.6146 -5.10803 -24
88 0.031814 55.2512 80.0773 -9.71078
88 0.0282212 55.2517 80.0772 -9.71048
88 -0.0600352 55.2512 80.0773 -24
89 0.026711 69.789 30.6322 -9.70881
89 0.0393207 69.7898 30.6321 -9.70827
89 -0.0660317 69.789 30.6322 -24
90 0.026711 -56.7687 78.3587 -9.99754
90 0.00215464 -56.7681 78.3586 -9.99787
90 0.00202174 -56.7677 78.359 -9.99825
90 0.0010851 -56.768 78.3591 -9.99793
90 0.00170992 -56.768 78.3591 -9.99749
90 0.00156426 -56.7676 78.3591 -9.99752
90 0.00394395 -56.7679 78.3595 -9.99748
90 0.00445495 -56.7677 78.3598 -9.99744
90 0.0113694 -56.7676 78.3598 -9.99748
90 -0.0566584 -56.7687 78.3587 -24
91 -0.245764 5.03293 -76.0912 -24
92 0.031814 5.37106 21.9063 -0.0866989
92 0.14888 5.373 21.9151 -0.087939
92 0.156269 5.53805 16.1749 -3.76304
92 0.123248 2.54281 23.4127 -9.53202
92 -0.460211 2.54466 23.4082 -24
93 0.031814 40.9355 95.7799 -9.48841
93 0.0249403 40.9352 95.7795 -9.48815
93 -0.0567543 40.9355 95.7799 -24
94 -0.263466 30.4483 21.2749 -24
95 0.031814 18.8086 73.2896 -9.86501
95 0.075623 18.8059 73.2908 -9.86584
95 -0.107437 18.8086 73.2896 -24
96 0.026711 27.0766 66.2427 -7.86741
96 0.0899516 27.0752 66.2405 -7.86436
96 -0.116663 27.0766 66.2427 -24
97 0.0754746 85.9295 92.3176 1.78506
97 0.014908 86.7859 94.3324 -5.74032
97 -0.445335 86.7858 94.3322 -24
98 0.031814 -10.0958 63.4988 -9.61515
98 0.149802 -10.0991 63.5058 -9.61028
98 -0.181616 -10.0958 63.4988 -24
99 0.031814 58.1871 48.5381 -9.79816
99 0.0387128 58.1875 48.5375 -9.7975
99 -0.0705268 58.1871 48.5381 -24
100 0.031814 -67.5814 -75.9575 -9.21297
100 0.0496753 -67.581 -75.957 -9.21157
100 -0.0814893 -67.5814 -75.9575 -24
101 0.031814 -26.375 71.0606 -9.28008
101 0.0652216 -26.3738 71.0596 -9.28186
101 0.0546936 -26.5603 70.8637 -8.72632
101 -0.151729 -26.5601 70.8639 -24
102 0.026711 -88.2911 -57.6714 -2.23594
102 0.143532 -88.287 -57.6727 -2.22848
102 0.00522985 -87.8982 -57.6146 -3.94933
102 0.0120827 -85.8078 -56.2368 -7.43707
102 -0.187556 -85.808 -56.2369 -24
103 0.031814 14.6505 -43.8491 -4.63177
103 0.113241 14.653 -43.8492 -4.62651
